RT_ID,SN_B,STOP_CD_B,SN_E,STOP_CD_E,DIST,LMT_SPD
12OMA,1,ESTAMAJ,2.0,MERMACA,558.0,60.0
12OMA,2,MERMACA,3.0,C12CH3A,746.0,40.0
12OMA,3,C12CH3A,4.0,CAHCH4A,945.0,30.0
12OMA,4,CAHCH4A,5.0,EJMCH3A,1195.0,30.0
12OMA,5,EJMCH3A,6.0,PAQSANA,1422.0,30.0
12OMA,6,PAQSANA,7.0,SAEDESA,1651.0,40.0
12OMA,7,SAEDESA,8.0,AVBCE3A,1837.0,40.0
12OMA,8,AVBCE3A,9.0,MELCHCA,2092.0,40.0
12OMA,9,MELCHCA,10.0,GIMMARA,2385.0,40.0
12OMA,10,GIMMARA,11.0,ESTAMAJ,3088.0,40.0
ACNAL-I,1,EALCDIA,2.0,CESAZ3A,184.0,30.0
ACNAL-I,2,CESAZ3A,3.0,CJGAZ3A,619.0,30.0
ACNAL-I,3,CJGAZ3A,4.0,BOMAZ3A,938.0,30.0
ACNAL-I,4,BOMAZ3A,5.0,CTAAZ3A,1217.0,30.0
ACNAL-I,5,CTAAZ3A,6.0,IGLAZ3A,1444.0,30.0
ACNAL-I,6,IGLAZ3A,7.0,CORAZ3A,1684.0,30.0
ACNAL-I,7,CORAZ3A,8.0,OLAAZ3A,1907.0,20.0
ACNAL-I,8,OLAAZ3A,9.0,LIVAZ3A,2160.0,20.0
ACNAL-I,9,LIVAZ3A,10.0,ALTAZ3A,2403.0,20.0
ACNAL-I,10,ALTAZ3A,11.0,GRIAZ3A,2550.0,20.0
ACNAL-I,11,GRIAZ3A,12.0,CA7AZ3A,3038.0,20.0
ACNAL-I,12,CA7AZ3A,13.0,C4BCB1A,3440.0,40.0
ACNAL-I,13,C4BCB1A,14.0,MELCB1A,4000.0,30.0
ACNAL-I,14,MELCB1A,15.0,JUDCB1A,4390.0,40.0
ACNAL-I,15,JUDCB1A,16.0,MOCON1A,4725.0,60.0
ACNAL-I,16,MOCON1A,17.0,ECATK4A,5186.0,60.0
ACNAL-I,17,ECATK4A,18.0,CABTK1A,5452.0,60.0
ACNAL-I,18,CABTK1A,19.0,FLOTK1A,5946.0,60.0
ACNAL-I,19,FLOTK1A,20.0,EBETK1A,6627.0,60.0
ACNAL-I,20,EBETK1A,21.0,PLCTK1A,6832.0,60.0
ACNAL-I,21,PLCTK1A,22.0,GONTK1A,7260.0,60.0
ACNAL-I,22,GONTK1A,23.0,LAJTK1A,7961.0,60.0
ACNAL-I,23,LAJTK1A,24.0,PALTK1A,8361.0,60.0
ACNAL-I,24,PALTK1A,25.0,ROCTK1A,8715.0,60.0
ACNAL-I,25,ROCTK1A,26.0,ULATK1A,9098.0,60.0
ACNAL-I,26,ULATK1A,27.0,ZAITK1A,9389.0,60.0
ACNAL-I,27,ZAITK1A,28.0,CELTK1A,9735.0,60.0
ACNAL-I,28,CELTK1A,29.0,CHITK1A,9982.0,60.0
ACNAL-I,29,CHITK1A,30.0,MILTK1A,10659.0,60.0
ACNAL-I,30,MILTK1A,31.0,BNPTK1A,10967.0,60.0
ACNAL-I,31,BNPTK1A,32.0,ESTSI1A,11338.0,60.0
ACNAL-I,32,ESTSI1A,33.0,CRUTK1A,11668.0,60.0
ACNAL-I,33,CRUTK1A,34.0,TINCN1A,14738.0,80.0
ACNAL-I,34,TINCN1A,35.0,GMSCN1A,23180.0,80.0
ACNAL-I,35,GMSCN1A,36.0,AVNCE4A,23460.0,60.0
ACNAL-I,36,AVNCE4A,37.0,MSOCE1A,23753.0,60.0
ACNAL-I,37,MSOCE1A,38.0,PERVE3A,24351.0,60.0
ACNAL-I,38,PERVE3A,39.0,IGLDB3A,24625.0,60.0
ACNAL-I,39,IGLDB3A,40.0,PCACE3A,24913.0,60.0
ACNAL-I,40,PCACE3A,41.0,CAMCE3A,25553.0,60.0
ACNAL-I,41,CAMCE3A,42.0,MOGCE4A,25612.0,60.0
ACNAL-I,42,MOGCE4A,43.0,ABACE1A,26354.0,60.0
ACNAL-I,43,ABACE1A,44.0,PNACE1A,26919.0,40.0
ACNAL-I,44,PNACE1A,45.0,ALBROCG,29437.0,40.0
ACNAL-R,1,ALBROCG,2.0,PNACE2A,3154.0,40.0
ACNAL-R,2,PNACE2A,3.0,ABACE2A,3471.0,40.0
ACNAL-R,3,ABACE2A,4.0,MOGCE4A,4464.0,60.0
ACNAL-R,4,MOGCE4A,5.0,ESTAMAH,5502.0,40.0
ACNAL-R,5,ESTAMAH,6.0,MCACE3A,5907.0,40.0
ACNAL-R,6,MCACE3A,7.0,C28CE3A,6245.0,60.0
ACNAL-R,7,C28CE3A,8.0,LONCE3A,6529.0,60.0
ACNAL-R,8,LONCE3A,9.0,PFACE3A,6808.0,60.0
ACNAL-R,9,PFACE3A,10.0,MEFCE4A,6947.0,60.0
ACNAL-R,10,MEFCE4A,11.0,BELCE3A,7482.0,60.0
ACNAL-R,11,BELCE3A,12.0,C45JA3A,8107.0,60.0
ACNAL-R,12,C45JA3A,13.0,ARAJA4A,8253.0,60.0
ACNAL-R,13,ARAJA4A,14.0,MSOCE2A,8578.0,60.0
ACNAL-R,14,MSOCE2A,15.0,AVNCE4A,8867.0,60.0
ACNAL-R,15,AVNCE4A,16.0,GMSCN2A,9142.0,80.0
ACNAL-R,16,GMSCN2A,17.0,TINCN2A,17468.0,80.0
ACNAL-R,17,TINCN2A,18.0,ETITK3A,19878.0,40.0
ACNAL-R,18,ETITK3A,19.0,CSITK2A,20086.0,60.0
ACNAL-R,19,CSITK2A,20.0,ESTSI2A,20751.0,60.0
ACNAL-R,20,ESTSI2A,21.0,BNPTK2A,20940.0,60.0
ACNAL-R,21,BNPTK2A,22.0,MILTK2A,21064.0,60.0
ACNAL-R,22,MILTK2A,23.0,CHITK2A,21748.0,60.0
ACNAL-R,23,CHITK2A,24.0,CELTK2A,22026.0,60.0
ACNAL-R,24,CELTK2A,25.0,ZAITK2A,22339.0,60.0
ACNAL-R,25,ZAITK2A,26.0,ULATK2A,22579.0,60.0
ACNAL-R,26,ULATK2A,27.0,ROCTK2A,23007.0,60.0
ACNAL-R,27,ROCTK2A,28.0,PALTK2A,23275.0,60.0
ACNAL-R,28,PALTK2A,29.0,LAJTK2A,23738.0,60.0
ACNAL-R,29,LAJTK2A,30.0,GONTK2A,24502.0,60.0
ACNAL-R,30,GONTK2A,31.0,EBETK2A,25040.0,60.0
ACNAL-R,31,EBETK2A,32.0,FLOTK2A,25633.0,60.0
ACNAL-R,32,FLOTK2A,33.0,CABTK2A,26244.0,60.0
ACNAL-R,33,CABTK2A,34.0,ECATK4A,26539.0,60.0
ACNAL-R,34,ECATK4A,35.0,CIUCB2A,27047.0,60.0
ACNAL-R,35,CIUCB2A,36.0,VCUTK2A,27633.0,60.0
ACNAL-R,36,VCUTK2A,37.0,ROQTK2A,27960.0,60.0
ACNAL-R,37,ROQTK2A,38.0,EALCDIA,28592.0,30.0
ACNAL-R,38,EALCDIA,39.0,CESAZ3A,28776.0,30.0
ACNAL-R,39,CESAZ3A,40.0,CJGAZ3A,29211.0,30.0
ACNAL-R,40,CJGAZ3A,41.0,BOMAZ3A,29530.0,30.0
ACNAL-R,41,BOMAZ3A,42.0,CTAAZ3A,29809.0,30.0
ACNAL-R,42,CTAAZ3A,43.0,IGLAZ3A,30036.0,30.0
ACNAL-R,43,IGLAZ3A,44.0,CORAZ3A,30276.0,30.0
ACNAL-R,44,CORAZ3A,45.0,OLAAZ3A,30499.0,20.0
ACNAL-R,45,OLAAZ3A,46.0,LIVAZ3A,30752.0,20.0
ACNAL-R,46,LIVAZ3A,47.0,ALTAZ3A,30995.0,20.0
ACNAL-R,47,ALTAZ3A,48.0,GRIAZ3A,31142.0,20.0
ACNAL-R,48,GRIAZ3A,49.0,CA7AZ3A,31630.0,20.0
ACNAL-R,49,CA7AZ3A,50.0,C4BCB1A,32032.0,40.0
ACNAL-R,50,C4BCB1A,51.0,MELCB1A,32592.0,30.0
ACNAL-R,51,MELCB1A,52.0,JUDCB1A,32982.0,40.0
ACNAL-R,52,JUDCB1A,53.0,MOCON1A,33317.0,60.0
ADKAL-DI,1,EALCDIA,2.0,CESAZ3A,184.0,30.0
ADKAL-DI,2,CESAZ3A,3.0,CJGAZ3A,619.0,30.0
ADKAL-DI,3,CJGAZ3A,4.0,BOMAZ3A,938.0,30.0
ADKAL-DI,4,BOMAZ3A,5.0,CTAAZ3A,1217.0,30.0
ADKAL-DI,5,CTAAZ3A,6.0,IGLAZ3A,1444.0,30.0
ADKAL-DI,6,IGLAZ3A,7.0,CORAZ3A,1684.0,30.0
ADKAL-DI,7,CORAZ3A,8.0,OLAAZ3A,1907.0,20.0
ADKAL-DI,8,OLAAZ3A,9.0,LIVAZ3A,2160.0,20.0
ADKAL-DI,9,LIVAZ3A,10.0,ALTAZ3A,2403.0,20.0
ADKAL-DI,10,ALTAZ3A,11.0,GRIAZ3A,2550.0,20.0
ADKAL-DI,11,GRIAZ3A,12.0,CA7AZ3A,3038.0,20.0
ADKAL-DI,12,CA7AZ3A,13.0,C4BCB1A,3440.0,40.0
ADKAL-DI,13,C4BCB1A,14.0,MELCB1A,4000.0,30.0
ADKAL-DI,14,MELCB1A,15.0,JUDCB1A,4390.0,40.0
ADKAL-DI,15,JUDCB1A,16.0,MOCON1A,4725.0,60.0
ADKAL-DI,16,MOCON1A,17.0,ECATK4A,5186.0,60.0
ADKAL-DI,17,ECATK4A,18.0,CABTK1A,5452.0,60.0
ADKAL-DI,18,CABTK1A,19.0,FLOTK1A,5946.0,60.0
ADKAL-DI,19,FLOTK1A,20.0,EBETK1A,6627.0,60.0
ADKAL-DI,20,EBETK1A,21.0,PLCTK1A,6832.0,60.0
ADKAL-DI,21,PLCTK1A,22.0,GONTK1A,7260.0,60.0
ADKAL-DI,22,GONTK1A,23.0,LAJTK1A,7961.0,60.0
ADKAL-DI,23,LAJTK1A,24.0,PALTK1A,8361.0,60.0
ADKAL-DI,24,PALTK1A,25.0,ROCTK1A,8715.0,60.0
ADKAL-DI,25,ROCTK1A,26.0,ULATK1A,9098.0,60.0
ADKAL-DI,26,ULATK1A,27.0,ZAITK1A,9389.0,60.0
ADKAL-DI,27,ZAITK1A,28.0,CELTK1A,9735.0,60.0
ADKAL-DI,28,CELTK1A,29.0,CHITK1A,9982.0,60.0
ADKAL-DI,29,CHITK1A,30.0,MILTK1A,10659.0,60.0
ADKAL-DI,30,MILTK1A,31.0,BNPTK1A,10967.0,60.0
ADKAL-DI,31,BNPTK1A,32.0,ESTSI1A,11338.0,60.0
ADKAL-DI,32,ESTSI1A,33.0,CRUTK1A,11668.0,60.0
ADKAL-DI,33,CRUTK1A,34.0,PMACN4A,12239.0,60.0
ADKAL-DI,34,PMACN4A,35.0,OJOAG1A,12641.0,60.0
ADKAL-DI,35,OJOAG1A,36.0,IBVTK1A,13091.0,60.0
ADKAL-DI,36,IBVTK1A,37.0,ESTAN1C,13432.0,60.0
ADKAL-DI,37,ESTAN1C,38.0,SJOTK1A,14038.0,60.0
ADKAL-DI,38,SJOTK1A,39.0,RODTK1A,14344.0,60.0
ADKAL-DI,39,RODTK1A,40.0,PAZTK1A,14716.0,60.0
ADKAL-DI,40,PAZTK1A,41.0,ERUTK1A,14937.0,60.0
ADKAL-DI,41,ERUTK1A,42.0,PSMTK4A,15596.0,60.0
ADKAL-DI,42,PSMTK4A,43.0,MASMITA,15773.0,60.0
ADKAL-DI,43,MASMITA,44.0,C81TK1A,16428.0,60.0
ADKAL-DI,44,C81TK1A,45.0,ESPNU1A,16733.0,60.0
ADKAL-DI,45,ESPNU1A,46.0,ES12O1A,17674.0,60.0
ADKAL-DI,46,ES12O1A,47.0,ASBTK4A,17735.0,60.0
ADKAL-DI,47,ASBTK4A,48.0,EBOTK1A,18159.0,60.0
ADKAL-DI,48,EBOTK1A,49.0,ESTIG1A,18814.0,60.0
ADKAL-DI,49,ESTIG1A,50.0,INGEN1A,19114.0,60.0
ADKAL-DI,50,INGEN1A,51.0,BETAN1A,19527.0,60.0
ADKAL-DI,51,BETAN1A,52.0,C64TK1A,19798.0,60.0
ADKAL-DI,52,C64TK1A,53.0,LPAVA1A,20689.0,60.0
ADKAL-DI,53,LPAVA1A,54.0,GCVTM4A,21291.0,60.0
ADKAL-DI,54,GCVTM4A,55.0,UNATK1A,21856.0,60.0
ADKAL-DI,55,UNATK1A,56.0,VVETK1A,22177.0,60.0
ADKAL-DI,56,VVETK1A,57.0,TECCE1A,23066.0,40.0
ADKAL-DI,57,TECCE1A,58.0,PYTCE4A,23463.0,40.0
ADKAL-DI,58,PYTCE4A,59.0,DOMCE1A,24030.0,40.0
ADKAL-DI,59,DOMCE1A,60.0,ALBROCC,28776.0,40.0
ADKAL-DR,1,ALBROCC,2.0,DOMCE2A,5244.0,40.0
ADKAL-DR,2,DOMCE2A,3.0,PYTCE4A,5632.0,40.0
ADKAL-DR,3,PYTCE4A,4.0,TECCE2A,7194.0,40.0
ADKAL-DR,4,TECCE2A,5.0,AVNCE4A,7467.0,60.0
ADKAL-DR,5,AVNCE4A,6.0,VVETK2A,7741.0,60.0
ADKAL-DR,6,VVETK2A,7.0,UNATK2A,8061.0,60.0
ADKAL-DR,7,UNATK2A,8.0,GCVTM4A,8597.0,60.0
ADKAL-DR,8,GCVTM4A,9.0,LPAVA2A,9240.0,60.0
ADKAL-DR,9,LPAVA2A,10.0,C64TK2A,10150.0,60.0
ADKAL-DR,10,C64TK2A,11.0,BETTK2A,10420.0,60.0
ADKAL-DR,11,BETTK2A,12.0,INGEN2A,10830.0,60.0
ADKAL-DR,12,INGEN2A,13.0,ESTIG2A,11331.0,60.0
ADKAL-DR,13,ESTIG2A,14.0,EBOTK2A,11840.0,60.0
ADKAL-DR,14,EBOTK2A,15.0,ASBTK4A,12162.0,60.0
ADKAL-DR,15,ASBTK4A,16.0,ES12O2A,12263.0,60.0
ADKAL-DR,16,ES12O2A,17.0,CPATK2A,12607.0,60.0
ADKAL-DR,17,CPATK2A,18.0,ESPNU2A,13150.0,60.0
ADKAL-DR,18,ESPNU2A,19.0,C81TK2A,13364.0,60.0
ADKAL-DR,19,C81TK2A,20.0,GESTATA,14012.0,60.0
ADKAL-DR,20,GESTATA,21.0,PSMTK4A,14258.0,60.0
ADKAL-DR,21,PSMTK4A,22.0,ERUTK2A,14916.0,60.0
ADKAL-DR,22,ERUTK2A,23.0,PAZTK2A,15336.0,60.0
ADKAL-DR,23,PAZTK2A,24.0,MOYTK3A,15616.0,60.0
ADKAL-DR,24,MOYTK3A,25.0,SJOTK2A,16016.0,60.0
ADKAL-DR,25,SJOTK2A,26.0,ESTAN2B,16521.0,60.0
ADKAL-DR,26,ESTAN2B,27.0,IBVTK2A,16995.0,60.0
ADKAL-DR,27,IBVTK2A,28.0,OJOAG2A,17290.0,60.0
ADKAL-DR,28,OJOAG2A,29.0,PMACN4A,17676.0,60.0
ADKAL-DR,29,PMACN4A,30.0,ETITK3A,18075.0,40.0
ADKAL-DR,30,ETITK3A,31.0,CSITK2A,18283.0,60.0
ADKAL-DR,31,CSITK2A,32.0,ESTSI2A,18948.0,60.0
ADKAL-DR,32,ESTSI2A,33.0,BNPTK2A,19137.0,60.0
ADKAL-DR,33,BNPTK2A,34.0,MILTK2A,19261.0,60.0
ADKAL-DR,34,MILTK2A,35.0,CHITK2A,19945.0,60.0
ADKAL-DR,35,CHITK2A,36.0,CELTK2A,20223.0,60.0
ADKAL-DR,36,CELTK2A,37.0,ZAITK2A,20536.0,60.0
ADKAL-DR,37,ZAITK2A,38.0,ULATK2A,20776.0,60.0
ADKAL-DR,38,ULATK2A,39.0,ROCTK2A,21204.0,60.0
ADKAL-DR,39,ROCTK2A,40.0,PALTK2A,21472.0,60.0
ADKAL-DR,40,PALTK2A,41.0,LAJTK2A,21935.0,60.0
ADKAL-DR,41,LAJTK2A,42.0,GONTK2A,22699.0,60.0
ADKAL-DR,42,GONTK2A,43.0,EBETK2A,23237.0,60.0
ADKAL-DR,43,EBETK2A,44.0,FLOTK2A,23830.0,60.0
ADKAL-DR,44,FLOTK2A,45.0,CABTK2A,24441.0,60.0
ADKAL-DR,45,CABTK2A,46.0,ECATK4A,24736.0,60.0
ADKAL-DR,46,ECATK4A,47.0,CIUCB2A,25244.0,60.0
ADKAL-DR,47,CIUCB2A,48.0,VCUTK2A,25830.0,60.0
ADKAL-DR,48,VCUTK2A,49.0,ROQTK2A,26157.0,60.0
ADKAL-DR,49,ROQTK2A,50.0,EALCDIA,26789.0,30.0
ADKAL-DR,50,EALCDIA,51.0,CESAZ3A,26973.0,30.0
ADKAL-DR,51,CESAZ3A,52.0,CJGAZ3A,27408.0,30.0
ADKAL-DR,52,CJGAZ3A,53.0,BOMAZ3A,27727.0,30.0
ADKAL-DR,53,BOMAZ3A,54.0,CTAAZ3A,28006.0,30.0
ADKAL-DR,54,CTAAZ3A,55.0,IGLAZ3A,28233.0,30.0
ADKAL-DR,55,IGLAZ3A,56.0,CORAZ3A,28473.0,30.0
ADKAL-DR,56,CORAZ3A,57.0,OLAAZ3A,28696.0,20.0
ADKAL-DR,57,OLAAZ3A,58.0,LIVAZ3A,28949.0,20.0
ADKAL-DR,58,LIVAZ3A,59.0,ALTAZ3A,29192.0,20.0
ADKAL-DR,59,ALTAZ3A,60.0,GRIAZ3A,29339.0,20.0
ADKAL-DR,60,GRIAZ3A,61.0,CA7AZ3A,29827.0,20.0
ADKAL-DR,61,CA7AZ3A,62.0,C4BCB1A,30229.0,40.0
ADKAL-DR,62,C4BCB1A,63.0,MELCB1A,30789.0,30.0
ADKAL-DR,63,MELCB1A,64.0,JUDCB1A,31179.0,40.0
ADKAL-DR,64,JUDCB1A,65.0,MOCON1A,31514.0,60.0
ALKCO,1,ALLSB1A,2.0,EPASB1A,224.0,60.0
ALKCO,2,EPASB1A,3.0,ALASB1A,3117.0,60.0
ALKCO,3,ALASB1A,4.0,ALCSB1A,4164.0,60.0
ALKCO,4,ALCSB1A,5.0,PUESB1A,4807.0,60.0
ALKCO,5,PUESB1A,6.0,ZLCSB1A,6677.0,60.0
ALKCO,6,ZLCSB1A,7.0,PLMSB1A,7422.0,60.0
ALKCO,7,PLMSB1A,8.0,ENCSB1A,7821.0,60.0
ALKCO,8,ENCSB1A,9.0,ESTAS2A,8425.0,60.0
ALKCO,9,ESTAS2A,10.0,ESDSB2A,8985.0,60.0
ALKCO,10,ESDSB2A,11.0,PLMSB2A,9765.0,60.0
ALKCO,11,PLMSB2A,12.0,CALSB2A,11000.0,60.0
ALKCO,12,CALSB2A,13.0,PUESB2A,12397.0,60.0
ALKCO,13,PUESB2A,14.0,ALCSB2A,13123.0,60.0
ALKCO,14,ALCSB2A,15.0,ALASB2A,14139.0,60.0
ALKCO,15,ALASB2A,16.0,EPASB2A,18926.0,60.0
ALKCO,16,EPASB2A,17.0,ALLSB1A,19299.0,60.0
AMOAL,1,ALBROCE,2.0,ASCBL3A,2868.0,60.0
AMOAL,2,ASCBL3A,3.0,TBABL3A,3535.0,60.0
AMOAL,3,TBABL3A,4.0,CIBAN1A,3737.0,60.0
AMOAL,4,CIBAN1A,5.0,ENADA1A,4299.0,60.0
AMOAL,5,ENADA1A,6.0,MULAD1A,4646.0,60.0
AMOAL,6,MULAD1A,7.0,HOOAD1A,5353.0,40.0
AMOAL,7,HOOAD1A,8.0,FIGAD1A,6558.0,40.0
AMOAL,8,FIGAD1A,9.0,BIMAD1A,6924.0,60.0
AMOAL,9,BIMAD1A,10.0,SMIAD3A,9362.0,40.0
AMOAL,10,SMIAD3A,11.0,PERAD1A,9881.0,40.0
AMOAL,11,PERAD1A,12.0,ISFLA3A,10808.0,40.0
AMOAL,12,ISFLA3A,13.0,PERAD2A,11566.0,40.0
AMOAL,13,PERAD2A,14.0,BIMAD2A,14533.0,60.0
AMOAL,14,BIMAD2A,15.0,FIGAD2A,15420.0,40.0
AMOAL,15,FIGAD2A,16.0,HOOAD2A,16003.0,40.0
AMOAL,16,HOOAD2A,17.0,MULAD2A,16286.0,60.0
AMOAL,17,MULAD2A,18.0,ENADA2A,17103.0,60.0
AMOAL,18,ENADA2A,19.0,CIBAN2A,17642.0,60.0
AMOAL,19,CIBAN2A,20.0,TEBAL2A,17948.0,60.0
AMOAL,20,TEBAL2A,21.0,ALBROCE,20683.0,40.0
BCKAL-I,1,CAL1C1A,2.0,C3BDB1A,480.0,40.0
BCKAL-I,2,C3BDB1A,3.0,CA4DB1A,740.0,40.0
BCKAL-I,3,CA4DB1A,4.0,SAUDB1A,1008.0,40.0
BCKAL-I,4,SAUDB1A,5.0,C5CDB1A,1261.0,30.0
BCKAL-I,5,C5CDB1A,6.0,CA6DB1A,1672.0,40.0
BCKAL-I,6,CA6DB1A,7.0,CANDB1A,1864.0,40.0
BCKAL-I,7,CANDB1A,8.0,PARDB2A,2364.0,40.0
BCKAL-I,8,PARDB2A,9.0,VEODB2A,2701.0,40.0
BCKAL-I,9,VEODB2A,10.0,VILDB2A,3099.0,40.0
BCKAL-I,10,VILDB2A,11.0,VDADB2A,3499.0,40.0
BCKAL-I,11,VDADB2A,12.0,BOSDB3A,4039.0,60.0
BCKAL-I,12,BOSDB3A,13.0,PIQDB4A,4047.0,40.0
BCKAL-I,13,PIQDB4A,14.0,AVPDB2A,4392.0,40.0
BCKAL-I,14,AVPDB2A,15.0,TERDB2A,4799.0,40.0
BCKAL-I,15,TERDB2A,16.0,CRODB2A,4999.0,40.0
BCKAL-I,16,CRODB2A,17.0,BHODB2A,5283.0,40.0
BCKAL-I,17,BHODB2A,18.0,IBHDB2A,5647.0,40.0
BCKAL-I,18,IBHDB2A,19.0,CAODB2A,5863.0,40.0
BCKAL-I,19,CAODB2A,20.0,CPRAD2A,6426.0,30.0
BCKAL-I,20,CPRAD2A,21.0,BOSTM1A,7308.0,60.0
BCKAL-I,21,BOSTM1A,22.0,CA1391A,7839.0,60.0
BCKAL-I,22,CA1391A,23.0,PAETM1A,8257.0,60.0
BCKAL-I,23,PAETM1A,24.0,PPETM4A,8619.0,60.0
BCKAL-I,24,PPETM4A,25.0,NCATM1A,9128.0,60.0
BCKAL-I,25,NCATM1A,26.0,BSATM1A,9975.0,60.0
BCKAL-I,26,BSATM1A,27.0,ESTLP1B,10597.0,40.0
BCKAL-I,27,ESTLP1B,28.0,CVITM1A,11079.0,60.0
BCKAL-I,28,CVITM1A,29.0,BRITM1A,11717.0,60.0
BCKAL-I,29,BRITM1A,30.0,SPNTM1A,12079.0,60.0
BCKAL-I,30,SPNTM1A,31.0,SCNTM1A,12695.0,60.0
BCKAL-I,31,SCNTM1A,32.0,PCOTM1A,13794.0,60.0
BCKAL-I,32,PCOTM1A,33.0,VLUTM1A,14225.0,60.0
BCKAL-I,33,VLUTM1A,34.0,CCOTM1A,15105.0,60.0
BCKAL-I,34,CCOTM1A,35.0,GROTM4A,15541.0,60.0
BCKAL-I,35,GROTM4A,36.0,ROOTM1A,15643.0,40.0
BCKAL-I,36,ROOTM1A,37.0,SHETM1A,16298.0,60.0
BCKAL-I,37,SHETM1A,38.0,ESTCO1B,16924.0,40.0
BCKAL-I,38,ESTCO1B,39.0,PSMTK4A,17401.0,60.0
BCKAL-I,39,PSMTK4A,40.0,MASMITA,17578.0,60.0
BCKAL-I,40,MASMITA,41.0,C81TK1A,18233.0,60.0
BCKAL-I,41,C81TK1A,42.0,ESPNU1A,18538.0,60.0
BCKAL-I,42,ESPNU1A,43.0,ES12O1A,19479.0,60.0
BCKAL-I,43,ES12O1A,44.0,ASBTK4A,19540.0,60.0
BCKAL-I,44,ASBTK4A,45.0,EBOTK1A,19964.0,60.0
BCKAL-I,45,EBOTK1A,46.0,ESTIG1A,20619.0,60.0
BCKAL-I,46,ESTIG1A,47.0,INGEN1A,20919.0,60.0
BCKAL-I,47,INGEN1A,48.0,BETAN1A,21332.0,60.0
BCKAL-I,48,BETAN1A,49.0,C64TK1A,21603.0,60.0
BCKAL-I,49,C64TK1A,50.0,LPAVA1A,22494.0,60.0
BCKAL-I,50,LPAVA1A,51.0,GCVTM4A,23096.0,60.0
BCKAL-I,51,GCVTM4A,52.0,UNATK1A,23661.0,60.0
BCKAL-I,52,UNATK1A,53.0,VVETK1A,23982.0,60.0
BCKAL-I,53,VVETK1A,54.0,AVNCE4A,24536.0,60.0
BCKAL-I,54,AVNCE4A,55.0,MSOCE1A,24829.0,60.0
BCKAL-I,55,MSOCE1A,56.0,PERVE3A,25427.0,60.0
BCKAL-I,56,PERVE3A,57.0,IGLDB3A,25701.0,60.0
BCKAL-I,57,IGLDB3A,58.0,PCACE3A,25989.0,60.0
BCKAL-I,58,PCACE3A,59.0,CAMCE3A,26629.0,60.0
BCKAL-I,59,CAMCE3A,60.0,MOGCE4A,26688.0,60.0
BCKAL-I,60,MOGCE4A,61.0,ABACE1A,27430.0,60.0
BCKAL-I,61,ABACE1A,62.0,PNACE1A,27995.0,40.0
BCKAL-I,62,PNACE1A,63.0,ALBROCB,30513.0,40.0
BCKAL-R,1,ALBROCB,2.0,PNACE2A,3154.0,40.0
BCKAL-R,2,PNACE2A,3.0,ABACE2A,3471.0,40.0
BCKAL-R,3,ABACE2A,4.0,MOGCE4A,4464.0,60.0
BCKAL-R,4,MOGCE4A,5.0,ESTAMAN,5502.0,40.0
BCKAL-R,5,ESTAMAN,6.0,MCACE3A,5907.0,40.0
BCKAL-R,6,MCACE3A,7.0,C28CE3A,6245.0,60.0
BCKAL-R,7,C28CE3A,8.0,LONCE3A,6529.0,60.0
BCKAL-R,8,LONCE3A,9.0,PFACE3A,6808.0,60.0
BCKAL-R,9,PFACE3A,10.0,MEFCE4A,6947.0,60.0
BCKAL-R,10,MEFCE4A,11.0,IJACE3A,7045.0,60.0
BCKAL-R,11,IJACE3A,12.0,AVNCE4A,7827.0,60.0
BCKAL-R,12,AVNCE4A,13.0,VVETK2A,8101.0,60.0
BCKAL-R,13,VVETK2A,14.0,UNATK2A,8421.0,60.0
BCKAL-R,14,UNATK2A,15.0,GCVTM4A,8957.0,60.0
BCKAL-R,15,GCVTM4A,16.0,LPAVA2A,9600.0,60.0
BCKAL-R,16,LPAVA2A,17.0,C64TK2A,10510.0,60.0
BCKAL-R,17,C64TK2A,18.0,BETTK2A,10780.0,60.0
BCKAL-R,18,BETTK2A,19.0,INGEN2A,11190.0,60.0
BCKAL-R,19,INGEN2A,20.0,ESTIG2A,11691.0,60.0
BCKAL-R,20,ESTIG2A,21.0,EBOTK2A,12200.0,60.0
BCKAL-R,21,EBOTK2A,22.0,ASBTK4A,12522.0,60.0
BCKAL-R,22,ASBTK4A,23.0,ES12O2A,12623.0,60.0
BCKAL-R,23,ES12O2A,24.0,CPATK2A,12967.0,60.0
BCKAL-R,24,CPATK2A,25.0,ESPNU2A,13510.0,60.0
BCKAL-R,25,ESPNU2A,26.0,C81TK2A,13724.0,60.0
BCKAL-R,26,C81TK2A,27.0,GESTATA,14372.0,60.0
BCKAL-R,27,GESTATA,28.0,COLTM2A,15141.0,60.0
BCKAL-R,28,COLTM2A,29.0,SHETM2A,15760.0,60.0
BCKAL-R,29,SHETM2A,30.0,ROOTM2A,16368.0,40.0
BCKAL-R,30,ROOTM2A,31.0,GROTM4A,16533.0,60.0
BCKAL-R,31,GROTM4A,32.0,CCOTM2A,17228.0,60.0
BCKAL-R,32,CCOTM2A,33.0,CLITM3A,17492.0,60.0
BCKAL-R,33,CLITM3A,34.0,VLUTM2A,17839.0,60.0
BCKAL-R,34,VLUTM2A,35.0,PCOTM2A,18315.0,60.0
BCKAL-R,35,PCOTM2A,36.0,SCNTM2A,19408.0,60.0
BCKAL-R,36,SCNTM2A,37.0,SPNTM2A,20009.0,60.0
BCKAL-R,37,SPNTM2A,38.0,BRITM2A,20339.0,60.0
